bg,bg_effect,bgm,character1,character2,face,who_talk,talk,sound_effect,voice,sfx,remark
park,,wakuwaku,ayase,,normal,ayase,คะแนนของพวกเธอสองคนเข้าขั้นวิกฤตแล้ว,,,,
,,,,,angry,ayase,พวกเธอสองคนรู้ตัวรึเปล่า,,,,
,,,eri,mikan,smile,eri,ฉันขาดอีกสามคะแนนก็ผ่านแล้ว,,,,
,,,,,angry,mikan,สามคะแนนที่ไหน สามสิบ ต่างหาก!,,,,
,,,,,normal,eri,เอ๋ ~,,,,
,,,ayase,,normal,ayase,ไม่ต้องมาเอ๋เลย ฉันจะติวให้พวกเธอเอง,,,,
,,,,,smile,ayase,เริ่มจากวิชาเคมีก่อน,,,,
,,,eri,mikan,smile,eri,เคมีที่มันอยู่ในวัด?,,,,
,,,,,angry,mikan,นั่นมันเจดีห์,,,,
,,,,,smile,eri,เคมีที่เป็นคู่แข่งมาเวล?,,,,
,,,,,angry,mikan,นั่นมัน DC,,,,
,,,ayase,,angry,ayase,ถ้าพวกเธอเล่นกันแบบนี้ พวกเธอจะเอาอะไรไปสอบ,,,,
